iter	Passed	Remaining
772	513634	150834
773	514312	150173
774	514872	149479
775	515548	148818
776	516187	148146
777	516900	147496
778	517516	146817
779	518023	146109
780	518737	145459
781	519425	144801
782	520143	144152
783	520843	143497
784	521492	142829
785	522121	142155
786	522829	141502
787	523508	140842
788	524093	140156
789	524727	139484
790	525398	138822
791	525988	138138
792	526673	137479
793	527303	136806
794	528062	136167
795	528711	135498
796	529280	134810
797	529967	134152
798	530719	133510
799	531426	132856
800	532139	132204
801	532931	131571
802	533633	130916
803	534316	130256
804	534996	129595
805	535603	128916
806	536281	128255
807	537033	127612
808	537581	126919
809	538161	126235
810	538767	125557
811	539419	124890
812	540052	124218
813	540629	123534
814	541317	122875
815	541905	122194
816	542454	121504
817	543065	120828
818	543726	120164
819	544323	119485
820	544950	118813
821	545459	118116
822	546054	117438
823	546684	116767
824	547379	116110
825	547931	115423
826	548652	114772
827	549151	114074
828	549777	113404
829	550513	112755
830	551172	112091
831	551807	111422
832	552377	110740
833	552881	110045
834	553607	109395
835	554306	108739
836	555040	108090
837	556030	107490
838	556664	106821
839	557458	106182
840	558191	105532
841	558941	104884
842	559680	104234
843	560432	103586
844	561170	102936
845	562181	102335
846	563067	101711
847	564626	101206
848	565814	100633
849	567260	100104
850	568443	99527
851	569390	98908
852	570312	98283
853	571726	97742
854	573189	97207
855	573843	96534
856	574564	95872
857	575515	95248
858	576537	94635
859	577707	94045
860	578793	93440
861	580099	92869
862	580899	92216
863	581573	91543
864	582246	90870
865	582946	90201
866	583616	89528
867	584241	88847
868	584832	88162
869	585451	87481
870	586169	86814
871	586890	86148
872	587619	85484
873	588296	84811
874	588983	84140
875	589638	83464
876	590384	82801
877	591127	82138
878	591812	81466
879	592511	80797
880	593274	80135
881	594114	79484
882	594709	78800
883	595388	78127
884	596080	77456
885	596688	76774
886	597314	76095
887	597954	75417
888	598716	74755
889	599313	74072
890	600002	73400
891	600613	72720
892	601230	72039
893	601823	71357
894	602512	70685
895	603149	70008
896	603746	69326
897	604433	68655
898	605142	67986
899	605825	67313
900	606475	66638
901	607084	65958
902	607835	65293
903	608550	64624
904	609209	63950
905	609848	63273
906	610444	62592
907	611149	61922
908	612000	61267
909	613124	60638
910	614740	60056
911	616359	59473
912	617405	58832
913	618240	58171
914	619196	57521
915	620128	56867
916	620880	56197
917	621826	55544
918	622791	54892
919	623715	54236
920	624541	53570
921	625493	52915
922	626352	52252
923	627087	51578
924	628001	50919
925	628937	50260
926	629584	49578
927	630224	48896
928	630956	48221
929	631730	47549
930	632618	46885
931	633459	46218
932	634291	45549
933	635308	44893
934	636132	44223
935	636932	43550
936	637819	42884
937	638723	42218
938	639596	41549
939	640804	40902
940	641405	40215
941	642049	39531
942	642770	38852
943	643495	38173
944	644160	37490
945	644944	36815
946	645629	36133
947	646299	35451
948	647129	34777
949	647777	34093
950	648591	33418
951	649278	32736
952	650097	32061
953	650756	31378
954	651634	30705
955	652367	30025
956	652965	29339
957	653758	28661
958	654422	27978
959	655158	27298
960	655799	26614
961	656429	25929
962	657108	25247
963	657877	24568
964	658491	23883
965	659186	23201
966	659829	22517
967	660379	21830
968	661009	21146
969	661682	20464
970	662416	19783
971	663037	19099
972	663688	18416
973	664330	17733
974	664940	17049
975	665363	16361
976	665745	15672
977	666235	14986
978	666604	14298
979	667058	13613
980	667467	12927
981	667869	12242
982	668318	11557
983	668722	10873
984	669111	10189
985	669455	9505
986	669790	8821
987	670106	8138
988	670441	7456
989	670831	6776
990	671294	6096
991	671745	5417
992	672214	4738
993	672668	4060
994	673087	3382
995	673566	2705
996	674031	2028
997	674461	1351
998	674837	675
999	675200	0
